effective_seed,team_name,seed,region,round
1,arizona,1,south,1
2,villanova,2,south,1
3,tennessee,3,south,1
4,illinois,4,south,1
5,houston,5,south,1
6,colorado_state,6,south,1
7,ohio_state,7,south,1
8,seton_hall,8,south,1
9,tcu,9,south,1
10,loyola_chicago,10,south,1
11,michigan,11,south,1
12,uab,12,south,1
13,chattanooga,13,south,1
14,longwood,14,south,1
15,delaware,15,south,1
16,"['wright_state', 'bryant']",16,south,1
