,team_name,seed,effective_seed,region,round
0,"['arizona', 'bryant']",16,1,south,2
0,delaware,15,2,south,2
0,longwood,14,3,south,2
0,chattanooga,13,4,south,2
0,uab,12,5,south,2
0,colorado_state,6,6,south,2
0,loyola_chicago,10,7,south,2
0,tcu,9,8,south,2
