effective_seed,team_name,seed,region,round
1,baylor,1,east,1
2,kentucky,2,east,1
3,purdue,3,east,1
4,ucla,4,east,1
5,saint_marys,5,east,1
6,texas,6,east,1
7,murray_state,7,east,1
8,north_carolina,8,east,1
9,marquette,9,east,1
10,san_francisco,10,east,1
11,virginia_tech,11,east,1
12,"['wyoming', 'indiana']",12,east,1
13,akron,13,east,1
14,yale,14,east,1
15,saint_peters,15,east,1
16,norfolk_state,16,east,1
