,team_name,seed,effective_seed,region,round
0,"['texas_southern', 'fdu']",16,1,east,2
0,vermont,15,2,east,2
0,montana_state,14,3,east,2
0,louisiana,13,4,east,2
0,duke,5,5,east,2
0,kentucky,6,6,east,2
0,michigan_state,7,7,east,2
0,florida_atlantic,9,8,east,2
