effective_seed,team_name,seed,region,round
1,alabama,1,south,1
2,arizona,2,south,1
3,baylor,3,south,1
4,virginia,4,south,1
5,san_diego_state,5,south,1
6,creighton,6,south,1
7,missouri,7,south,1
8,maryland,8,south,1
9,west_virginia,9,south,1
10,utah_state,10,south,1
11,nc_state,11,south,1
12,charleston,12,south,1
13,furman,13,south,1
14,ucsb,14,south,1
15,princeton,15,south,1
16,"['texas_a&m_cc', 'southeast_missouri_state']",16,south,1
