effective_seed,team_name,seed,region,round
1,purdue,1,east,1
2,marquette,2,east,1
3,kansas_state,3,east,1
4,tennessee,4,east,1
5,duke,5,east,1
6,kentucky,6,east,1
7,michigan_state,7,east,1
8,memphis,8,east,1
9,florida_atlantic,9,east,1
10,usc,10,east,1
11,providence,11,east,1
12,oral_roberts,12,east,1
13,louisiana,13,east,1
14,montana_state,14,east,1
15,vermont,15,east,1
16,"['texas_southern', 'fdu']",16,east,1
