,team_name,seed,effective_seed,region,round
0,houston,1,1,midwest,2
0,texas,2,2,midwest,2
0,xavier,3,3,midwest,2
0,kent_state,13,4,midwest,2
0,miami,5,5,midwest,2
0,iowa_state,6,6,midwest,2
0,texas_a&m,7,7,midwest,2
0,auburn,9,8,midwest,2
