effective_seed,team_name,seed,region,round
1,houston,1,west,1
2,ucla,2,west,1
3,kansas_state,3,west,1
4,duke,4,west,1
5,texas_a&m,5,west,1
6,creighton,6,west,1
7,kentucky,7,west,1
8,iowa,8,west,1
9,usc,9,west,1
10,boise_state,10,west,1
11,"['mississippi_state', 'pittsburgh']",11,west,1
12,drake,12,west,1
13,louisiana,13,west,1
14,furman,14,west,1
15,montana_state,15,west,1
16,texas_a&m_cc,16,west,1
